                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.60867,                 1.2685,                0.71329,                 1.1495,                0.63459,                0.71867,                0.72369,                 0.5836,                0.63459,                0.71867,                0.72146,                0.55885,                0.68944,                 1.2649,                 0.7986,                 1.3766,             0.00090785,             0.00090785,             0.00090785
                     25,                0.60275,                 1.2605,                0.71333,                 1.1371,                0.61276,                0.76178,                0.65307,                0.55051,                0.61276,                0.76178,                0.65075,                0.50459,                0.60326,                 1.2917,                0.85688,                 1.2744,             0.00087484,             0.00087484,             0.00087484
                     26,                0.59259,                 1.2574,                 0.6756,                 1.1372,                0.63061,                0.72894,                0.68259,                 0.5571,                0.63061,                0.72894,                0.68138,                0.50323,                 0.6286,                 1.4188,                0.84823,                 1.2823,             0.00084184,             0.00084184,             0.00084184
                     27,                0.58907,                 1.2428,                0.68398,                 1.1344,                0.61789,                0.74434,                0.67635,                0.57341,                0.61789,                0.74434,                 0.6774,                0.52953,                0.61938,                 1.1896,                0.81072,                 1.3096,             0.00080883,             0.00080883,             0.00080883
                     28,                0.58746,                 1.2279,                0.66937,                  1.128,                0.72844,                0.67445,                0.72344,                0.61411,                0.72844,                0.67445,                0.72651,                0.57704,                0.59781,                  1.105,                0.86687,                 1.3015,             0.00077582,             0.00077582,             0.00077582
                     29,                0.57052,                 1.1996,                0.65796,                  1.117,                0.62725,                0.83286,                0.65015,                0.54215,                0.62641,                0.83517,                0.65337,                0.50832,                0.62069,                 1.2707,                0.96321,                 1.3068,             0.00074282,             0.00074282,             0.00074282
                     30,                0.57193,                 1.2142,                0.64727,                 1.1206,                0.55634,                0.80445,                0.65285,                0.54829,                0.54262,                0.78522,                0.63978,                  0.509,                0.62857,                 1.3151,                0.88479,                  1.269,             0.00070981,             0.00070981,             0.00070981
                     31,                0.56749,                 1.1889,                 0.6187,                 1.1151,                0.57979,                0.79572,                0.66572,                0.57626,                0.57979,                0.79572,                0.66572,                0.51949,                0.53733,                 1.3302,                 0.8239,                 1.1966,              0.0006768,              0.0006768,              0.0006768
                     32,                0.56311,                 1.1877,                0.61853,                 1.1124,                0.59137,                0.75125,                0.71079,                0.61562,                0.59137,                0.75125,                0.71307,                0.57371,                0.54731,                  1.258,                0.83807,                 1.2071,              0.0006438,              0.0006438,              0.0006438
                     33,                0.55316,                 1.1734,                0.61166,                 1.1027,                0.63219,                0.73773,                0.68714,                0.59442,                0.63219,                0.73773,                0.68619,                0.54403,                0.57944,                   1.18,                0.82791,                 1.2391,             0.00061079,             0.00061079,             0.00061079
                     34,                0.55196,                 1.1678,                 0.5995,                 1.1033,                0.66722,                0.79609,                0.74697,                0.63457,                0.66722,                0.79609,                0.74519,                0.59375,                0.57872,                   1.25,                0.71133,                 1.2278,             0.00057778,             0.00057778,             0.00057778
                     35,                0.54044,                 1.1376,                0.60431,                 1.0979,                0.67805,                0.70592,                0.71718,                0.61386,                0.67805,                0.70592,                0.71412,                0.57608,                 0.6026,                 1.2732,                0.77639,                 1.3088,             0.00054478,             0.00054478,             0.00054478
                     36,                0.53571,                  1.137,                0.58538,                 1.0948,                0.80136,                0.70257,                0.76162,                0.67144,                0.80136,                0.70257,                0.76244,                 0.6207,                0.56624,                 1.1772,                0.72207,                 1.2231,             0.00051177,             0.00051177,             0.00051177
                     37,                0.52931,                 1.1279,                 0.5818,                 1.0902,                0.67319,                0.72989,                0.72526,                0.63578,                0.67319,                0.72989,                0.72526,                0.58317,                0.57105,                 1.2497,                 0.7853,                 1.2504,             0.00047876,             0.00047876,             0.00047876
                     38,                0.52157,                  1.113,                0.56026,                 1.0874,                0.64752,                0.75792,                0.70564,                0.59485,                0.63751,                0.77499,                0.70783,                0.56491,                0.57257,                 1.2019,                0.81703,                 1.2645,             0.00044576,             0.00044576,             0.00044576
                     39,                0.52378,                  1.087,                0.57035,                 1.0838,                0.63996,                0.80709,                0.73434,                0.64288,                0.63996,                0.80709,                0.73341,                0.60177,                0.52539,                 1.1547,                0.77068,                 1.2074,             0.00041275,             0.00041275,             0.00041275
                     40,                0.51463,                 1.0842,                0.55102,                 1.0709,                0.54673,                0.74114,                0.62509,                0.53828,                 0.5481,                0.74114,                  0.629,                0.50638,                0.57865,                 1.1577,                0.89873,                 1.2685,             0.00037974,             0.00037974,             0.00037974
                     41,                0.33116,                0.82218,                0.36928,                 1.0427,                0.58594,                0.84616,                0.70579,                0.62184,                0.58594,                0.84616,                0.70227,                0.58799,                0.58185,                 1.3143,                 1.0368,                 1.2688,             0.00034674,             0.00034674,             0.00034674
                     42,                0.31822,                 0.7701,                0.33663,                 1.0234,                0.73049,                0.70258,                 0.7526,                0.65614,                0.73049,                0.70258,                0.75126,                0.61437,                0.52781,                 1.2717,                 0.7345,                 1.2048,             0.00031373,             0.00031373,             0.00031373
                     43,                0.29924,                0.77341,                0.30001,                  1.017,                 0.6666,                0.74614,                0.71396,                0.63426,                 0.6666,                0.74614,                0.71396,                0.59228,                0.52399,                 1.2038,                0.84051,                 1.2065,             0.00028072,             0.00028072,             0.00028072
                     44,                0.28878,                 0.7515,                0.27897,                 1.0015,                0.66969,                0.78198,                0.77451,                0.69671,                0.66969,                0.78198,                0.77616,                0.64041,                0.48733,                 1.2286,                0.71983,                 1.1681,             0.00024772,             0.00024772,             0.00024772
                     45,                0.28538,                0.74811,                0.27733,                  1.002,                0.67118,                0.68021,                0.70164,                0.62902,                0.67118,                0.68021,                0.70622,                0.58819,                0.49097,                 1.2162,                0.85589,                 1.1817,             0.00021471,             0.00021471,             0.00021471
                     46,                0.28208,                0.73683,                0.25304,                 1.0017,                0.64786,                 0.7971,                0.72168,                0.65496,                0.64786,                 0.7971,                0.72168,                0.61611,                 0.5074,                 1.2417,                0.89165,                 1.1989,              0.0001817,              0.0001817,              0.0001817
                     47,                0.27386,                0.72774,                0.25523,                0.99072,                0.64021,                0.84876,                0.75353,                0.68072,                0.64021,                0.84876,                0.75598,                0.63467,                0.51085,                 1.2667,                0.78013,                  1.226,              0.0001487,              0.0001487,              0.0001487
                     48,                 0.2689,                0.71707,                0.23635,                0.98415,                 0.6506,                0.81778,                0.77038,                0.69317,                 0.6506,                0.81778,                0.77038,                0.65115,                0.49181,                 1.2759,                0.68598,                  1.194,             0.00011569,             0.00011569,             0.00011569
                     49,                0.25814,                0.70178,                0.23046,                0.97486,                0.64774,                 0.8589,                0.77591,                0.69543,                0.64774,                 0.8589,                0.77811,                 0.6555,                0.49269,                  1.303,                0.72714,                 1.1891,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.24759,                0.69772,                0.22428,                 0.9657,                0.63074,                0.79594,                0.75281,                0.68608,                0.63074,                0.79594,                0.75535,                0.64178,                0.48438,                 1.2911,                0.79096,                 1.1859,             4.9677e-05,             4.9677e-05,             4.9677e-05
