                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.59179,                  1.264,                0.71191,                 1.1565,                0.71238,                0.70809,                0.73653,                0.62504,                0.71238,                0.70809,                0.73556,                0.58096,                0.52639,                 1.1651,                0.69599,                 1.2005,             0.00090785,             0.00090785,             0.00090785
                     25,                0.58417,                 1.2667,                0.70227,                 1.1367,                 0.6097,                0.75951,                 0.6679,                0.58669,                 0.6097,                0.75951,                0.66877,                0.52239,                0.56372,                 1.2104,                 0.7908,                 1.2543,             0.00087484,             0.00087484,             0.00087484
                     26,                0.57373,                 1.2616,                 0.6789,                 1.1372,                0.70623,                 0.7779,                0.73315,                0.62956,                 0.7154,                0.76603,                 0.7351,                0.58152,                0.52026,                 1.1368,                0.67296,                 1.2134,             0.00084184,             0.00084184,             0.00084184
                     27,                0.56484,                 1.2394,                0.67692,                 1.1346,                0.68413,                0.58026,                0.67799,                0.56744,                0.68413,                0.58026,                0.67264,                0.52594,                 0.5898,                 1.1869,                0.76318,                 1.2851,             0.00080883,             0.00080883,             0.00080883
                     28,                0.55896,                 1.2217,                0.66344,                 1.1264,                0.66034,                0.75071,                0.65781,                0.58936,                0.66034,                0.75071,                0.65556,                0.52495,                0.46161,                 1.3622,                0.86278,                 1.1544,             0.00077582,             0.00077582,             0.00077582
                     29,                0.54215,                 1.1815,                0.65496,                 1.1147,                0.70849,                0.71059,                 0.6816,                0.60138,                0.70849,                0.71059,                0.67921,                0.54461,                0.50055,                 1.2972,                0.76527,                 1.1783,             0.00074282,             0.00074282,             0.00074282
                     30,                0.54499,                 1.1935,                0.63601,                 1.1161,                0.59176,                0.75951,                 0.6706,                0.58335,                0.59176,                0.75951,                0.66619,                0.53547,                0.56066,                 1.1898,                0.82493,                  1.298,             0.00070981,             0.00070981,             0.00070981
                     31,                0.54342,                 1.1719,                0.61847,                 1.1169,                0.62706,                0.78997,                0.70248,                0.59768,                0.62706,                0.78997,                0.70139,                0.52999,                0.53363,                 1.3288,                0.73981,                 1.2613,              0.0006768,              0.0006768,              0.0006768
                     32,                 0.5354,                 1.1634,                0.61034,                 1.1096,                0.64467,                0.77636,                0.74875,                0.63334,                0.64924,                0.78198,                0.74697,                0.58442,                0.50916,                 1.2438,                0.76247,                 1.2262,              0.0006438,              0.0006438,              0.0006438
                     33,                0.51912,                 1.1399,                0.59824,                 1.0983,                0.64117,                0.77844,                 0.7044,                0.61828,                0.64117,                0.77844,                0.69988,                0.56425,                0.49918,                 1.3168,                0.74379,                  1.171,             0.00061079,             0.00061079,             0.00061079
                     34,                0.52422,                 1.1406,                0.60606,                 1.0989,                0.68324,                 0.7675,                0.72418,                 0.6308,                0.68324,                 0.7675,                0.72655,                0.59669,                0.47555,                 1.0975,                0.69399,                 1.1496,             0.00057778,             0.00057778,             0.00057778
                     35,                0.51133,                 1.1074,                0.59077,                 1.0918,                0.61319,                0.77926,                0.69018,                0.61467,                0.61319,                0.77926,                0.68979,                0.55423,                0.44122,                 1.2794,                0.71883,                 1.1358,             0.00054478,             0.00054478,             0.00054478
                     36,                 0.5123,                 1.1054,                0.57731,                 1.0906,                0.60358,                0.73228,                0.67107,                0.60642,                0.60818,                 0.7379,                0.67263,                0.55824,                0.47737,                 1.1919,                0.76993,                 1.1785,             0.00051177,             0.00051177,             0.00051177
                     37,                0.49729,                 1.0901,                0.56855,                 1.0826,                 0.6273,                 0.8092,                0.66818,                0.60691,                0.63189,                0.81482,                0.66887,                0.54028,                0.49856,                 1.2734,                0.78893,                  1.159,             0.00047876,             0.00047876,             0.00047876
                     38,                0.49369,                 1.0832,                0.54577,                 1.0767,                  0.659,                0.73846,                0.70971,                0.62018,                0.66386,                0.74408,                0.70905,                0.57415,                0.49212,                 1.1824,                0.81391,                 1.2067,             0.00044576,             0.00044576,             0.00044576
                     39,                0.49029,                 1.0466,                0.54961,                 1.0741,                0.63632,                0.76367,                0.68259,                0.61306,                0.63632,                0.76367,                0.68431,                 0.5509,                0.48884,                 1.2334,                0.78961,                 1.1973,             0.00041275,             0.00041275,             0.00041275
                     40,                0.47839,                  1.056,                0.52529,                 1.0636,                0.68054,                0.69382,                 0.6951,                 0.6215,                0.68054,                0.69382,                0.69425,                0.55273,                0.49055,                 1.2857,                0.79515,                 1.1843,             0.00037974,             0.00037974,             0.00037974
                     41,                0.27789,                0.77816,                0.32401,                0.99867,                0.73449,                0.77967,                0.68535,                0.61408,                0.73449,                0.77967,                0.68419,                0.56042,                0.49422,                   1.44,                0.84217,                 1.2486,             0.00034674,             0.00034674,             0.00034674
                     42,                0.27171,                 0.7507,                0.29376,                0.98533,                0.69784,                0.70981,                 0.7383,                0.66413,                0.69784,                0.70981,                0.74468,                0.61817,                0.48781,                 1.3517,                0.81434,                 1.2367,             0.00031373,             0.00031373,             0.00031373
                     43,                0.25914,                0.74394,                0.27429,                0.99087,                0.64764,                0.74804,                0.70724,                0.64235,                0.65707,                0.75055,                0.70541,                0.57808,                0.44939,                 1.3207,                0.80782,                 1.1566,             0.00028072,             0.00028072,             0.00028072
                     44,                0.24935,                0.71583,                0.23652,                0.97129,                0.70684,                0.71219,                0.68654,                0.62717,                0.70684,                0.71219,                0.68834,                0.57695,                0.47301,                 1.4468,                0.81852,                 1.1788,             0.00024772,             0.00024772,             0.00024772
                     45,                 0.2414,                0.71824,                0.24512,                0.96758,                0.67352,                0.71219,                 0.6807,                0.62542,                0.67352,                0.71219,                0.68219,                 0.5644,                0.43442,                 1.3108,                0.81897,                 1.1155,             0.00021471,             0.00021471,             0.00021471
                     46,                0.23588,                0.70549,                0.22008,                0.96072,                0.69263,                0.73941,                0.69157,                 0.6433,                0.69263,                0.73941,                 0.6919,                0.59113,                0.42867,                 1.3004,                0.83359,                  1.137,              0.0001817,              0.0001817,              0.0001817
                     47,                0.23343,                0.68841,                 0.2191,                0.96087,                0.69393,                0.74179,                  0.664,                0.62107,                0.69393,                0.74179,                0.66758,                0.56497,                0.43413,                 1.3649,                0.93603,                 1.1203,              0.0001487,              0.0001487,              0.0001487
                     48,                0.22762,                0.67942,                0.20393,                 0.9518,                0.65497,                 0.7421,                0.66319,                0.61226,                0.65497,                 0.7421,                0.66038,                0.55764,                0.43531,                 1.3639,                0.90711,                 1.1286,             0.00011569,             0.00011569,             0.00011569
                     49,                0.21414,                0.66949,                0.18926,                 0.9421,                0.69779,                0.75827,                0.68353,                0.62828,                0.69779,                0.75827,                0.68038,                0.58231,                0.43041,                 1.4157,                0.87318,                  1.128,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.20798,                0.65852,                0.17537,                0.93472,                0.62372,                0.77373,                 0.6825,                0.63208,                0.62372,                0.77373,                0.67829,                0.57124,                0.42824,                 1.4129,                0.86104,                 1.1441,             4.9677e-05,             4.9677e-05,             4.9677e-05
