                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89737,                 2.4307,                 2.1501,                 1.3997,                 0.8698,                0.30682,                0.51938,                0.30898,                0.78762,                0.23864,                0.40244,                0.17329,                 1.0848,                 2.8667,                 2.3089,                 2.0898,             0.00054065,             0.00054065,             0.00054065
                      2,                0.82005,                 1.6655,                 1.4393,                  1.311,                0.86331,                0.36932,                0.51242,                0.31447,                0.86331,                0.36932,                0.50902,                0.32177,                 1.2976,                 3.0867,                 1.7452,                 2.5272,             0.00087924,             0.00087924,             0.00087924
                      3,                0.80969,                 1.6476,                 1.2709,                 1.3038,                0.46436,                0.51404,                0.34952,                0.21043,                0.44714,                 0.5201,                0.35178,                0.23049,                 1.2691,                 1.8677,                 2.5234,                 2.2446,              0.0009978,              0.0009978,              0.0009978
                      4,                0.76493,                 1.5503,                 1.1556,                 1.2683,                0.40925,                0.81441,                0.61709,                0.44528,                0.40298,                0.80482,                0.59544,                0.34835,                0.97113,                 3.1066,                 1.3054,                  1.975,              0.0006768,              0.0006768,              0.0006768
                      5,                0.69797,                 1.4991,                 1.0191,                 1.2162,                0.77662,                0.68531,                0.73997,                0.58159,                0.77662,                0.68531,                0.72496,                0.53384,                 0.7099,                 1.3426,                0.91716,                 1.3516,             0.00034674,             0.00034674,             0.00034674
